location,Total,6-10 years,11-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-49 years,50-59 years,60 years and over
Home,12103996.1,951790.32,1065005.36,1756575.24,1484098.84,1295235.82,1227922.42,1189155.14,1745805.61,1071886.91,316520.43
Work,6932050.48,3855.62,10232.31,64030.35,616235.41,1272008.54,1226265.16,1117030.95,1514763.63,1013129.9,94498.62
Place of education,9736050.13,2077101.65,3033240.31,3300661.99,1026197.07,111330.13,43505.7,37940.17,42103.08,52797.33,11172.7
Internet café,2887258.97,198272.72,742579.1,1319889.89,418603.8,80441.28,38008.21,27475.74,35545.02,21755.17,4688.03
Public service Information/Public Libraries/Learning ICT community center,1030117.05,94706.52,212898.82,398998.42,167038.63,36224.63,29912.84,24556.85,31167.02,29752.31,4861.01
Another person's home,3806292.58,250030.99,564338.89,1174778.14,585213.12,314337.54,255993.38,230296.38,276526.61,131106.21,23671.33
