Region,Total,08.00 - 11.59,12.00 - 15.59,16.0 - 19.59,20.0 - 23.59,24.00 - 03.59,04.00 - 07.59,All day
Whole kingdom,29835410,9248685,12064052,13053512,9497662,159988,136529,5233801
Bangkok,5592956,2099738,2394850,2070787,1623681,35325,7980,1222319
Central region,9618597,2533388,3462387,4048138,3701762,67403,86120,1703468
Northern region,4464787,1405041,1899706,2227797,1484247,21358,13037,589202
Northeastern region,6269075,2077904,2745492,2840224,1452894,15530,10423,1150795
Southern region,3889995,1132615,1561616,1866566,1235077,20372,18969,568017
