region,Total,Less than 1 hour,1-2 hours,2-3 hours,3-4 hours,4-5 hours,5-6 hours,More than 6 hours
Bangkok,4080875.42,244454.78,1095538.45,925860.58,651638.06,339744.71,131713.61,682930.89
Central region,5718014.95,765236.25,2139849.09,1295710.91,717222.6,292142.65,151897.69,296099.4
Northern region,3246112.22,485777.46,1416045.99,678592.97,297871.45,157470.82,50310.94,128496.22
Northeastern region,4693888.5,843286.58,2182970.83,890266.45,374247.94,153258.94,63232.62,167637.64
Southern region,2479721.17,519599.96,1047187.27,446505.53,204020.33,102317.14,43565.77,104304.39
