Internet's using location,Total,Used,None
Home,29835410,19714651,10120760
Office,29835410,9864869,19970541
Institution,29835410,8248595,21586815
Internet caf?,29835410,2904736,26930675
Telecenter,29835410,1212784,28622626
Friend's house,29835410,6235851,23599559
Other location via portable device,29835410,25477725,4357685
