activity to use Internet,Total,6-10 years,11-14 years,15 - 19 years,20 - 24 years,25 - 29 years,30 - 34 years,35 - 39 years,40 - 49 years,50 - 59 years,60 years 
Sending or receiving e-mail,10498973,93574,542950,1619448,1441830,1471852,1364906,1227903,1618502,916809,201199
Search general Information/goods or services,12183197,106911,509738,1565617,1685878,1778833,1660086,1543175,2035694,1032495,264770
Order/Purchase goods or services Online ,2170715,4224,25554,220015,365951,392647,361106,286148,340044,147016,28010
Business and offering products / services.,1105826,2919,12914,55076,110477,186301,184539,179901,247055,107928,18716
Search for Information about goods / health services,10597810,91570,397426,1263752,1435396,1498017,1419844,1361326,1794053,1032869,303556
Search government Information,7406965,139397,469251,1023905,890644,883455,876262,819700,1249917,878340,176094
Contact/transfer Download the document /  transaction with the government agency,3349754,22707,81118,277517,378680,456605,441267,443057,683081,509803,55921
Trace news / read or download newspaper or magazine (e-book) ,13880319,211773,853161,2008641,1991156,1818395,1750456,1589789,2142654,1165144,349151
"Download picture/movies/video/music/games or playing games , or listening to radio music",26262678,1396476,2489320,3961094,3688048,3351048,3059580,2747866,3505357,1650429,413460
Download Software,5949382,86616,330506,913915,879669,838109,788140,687362,913674,419312,92080
"Webboard blog, chat / instant message",5510295,82667,365940,941653,852153,817756,679402,603151,721365,359788,86419
Social Network,27301083,705888,2178672,4062830,3918620,3588440,3296360,2978976,3975705,2019127,576466
Education learning activties,5459741,544603,1116227,1439649,670622,401393,318038,272956,397375,241712,57168
Voice over Internet protocol (VOIP),8481871,151033,548657,1442966,1307957,1240126,1090964,919629,1131883,510811,137845
"Internet Banking , Mobile Banking",1903417,7038,23266,75472,174222,282444,297340,286499,465405,237380,54353
