activity,Total,6-10 years,11-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-49 years,50-59 years,60 years and over
Work,7293699.84,9125.57,28137.42,101432,631412.39,1306701.94,1275040.67,1157991.72,1598546.79,1076053.02,109258.3
Study,9718905.23,2083534.62,3031904.4,3324958.17,1064317.27,115547.69,31073.8,22670.93,27257.81,13507.12,4133.42
Knowledge,7160034.53,433938.49,1003453.78,1656979.69,894399.45,626620.47,595136.1,532011.22,739232.56,519861.26,158401.51
Game,13081143.3,1795985.42,2343010.79,2856444.58,1593268.42,1205847.53,1032726.82,858381.53,919720.05,380675.98,95082.17
Entertainment,16076299.7,1332304.69,2152393.75,3077840.37,1913736.51,1594959.32,1473771.72,1353832.64,1842350.14,1063779.92,271330.65
Surfing  Internet,16892538.7,1264716.02,2424170.24,3257779.86,1906493.91,1651525.73,1535243.1,1398610.29,1959613.8,1198545.85,295839.91
