Level of education,Total,Computer using,Computer do not using,Internet using,Internet do not using,Mobile using,Mobile do not using
Total,62804826,20218612.3,42586213.7,29835410.3,32969415.7,51121620.9,11683205.2
No education,3109326.62,163869,2945457.62,255166.99,2854159.63,1338485.07,1770841.56
Less than elementary level,18472493.9,3810959.26,14661534.7,3356658.05,15115835.9,11207485.3,7265008.67
Elementary level,12853124.7,2832453.6,10020671.1,4869246.6,7983878.07,11143134.2,1709990.46
Lower secondary level,9739649.55,3206751.41,6532898.15,6404573.39,3335076.16,9250533.58,489115.97
Upper secondary level,8873014.59,3317042.7,5555971.89,6339951.53,2533063.06,8585824.32,287190.26
Diploma level,2248234.4,1131663.37,1116571.03,1825557.72,422676.68,2207422.28,40812.12
Higher level,7218275.24,5715824.53,1502450.71,6662488.58,555786.66,7149281.39,68993.85
Others,108067.91,2694.17,105373.74,26587.06,81480.86,81457.72,26610.19
Unknown,182639.09,37354.23,145284.86,95180.4,87458.7,157997.03,24642.07
