age,Total,Computer using,Computer do not using,Internet using,Internet do not using,Mobile using,Mobile do not using
Total,62804826,20218612.3,42586213.7,29835410.3,32969415.7,51121620.9,11683205.2
6 - 10',3922689.01,2362929.38,1559759.63,1631876.74,2290812.27,1141114.72,2781574.29
11 - 14',3410230,3103163.97,307066.03,2873966.46,536263.54,2330925.03,1079304.97
15 - 19,4660078,3575300.64,1084777.36,4248552.5,411525.5,4425216.4,234861.6
20 - 24,4953232,2131276.33,2821955.68,4009188.55,944043.45,4756641.39,196590.62
25 - 29,4766050,1852356.92,2913693.08,3673245.56,1092804.45,4562793.72,203256.28
30 - 34,4815730,1721568.37,3094161.63,3378074.33,1437655.67,4560667.56,255062.44
35 - 39,5245677.99,1587590.62,3658087.37,3078039.54,2167638.44,4883645.99,362032
40 - 49,10877864,2184070.49,8693793.5,4154476.99,6723387,9899388.07,978475.92
50 - 59,9465221.01,1350747.68,8114473.33,2146780.57,7318440.44,8219386.19,1245834.82
60 years and over,10688054,349607.87,10338446.1,641209.08,10046844.9,6341841.77,4346212.22
