Internet's using location,Total,Used,None
Home,16632908,8421341,8211567
Office,16632908,5101446,11531463
Institution,16632908,7863226,8769683
Internet caf?,16632908,4304732,12328176
Telecenter,16632908,619486,16013422
Friend's house,16632908,2327427,14305481
Other location via portable device,16632908,2246475,14386434
