Region,Total,08.00 - 11.59,12.00 - 15.59,16.0 - 19.59,20.0 - 23.59,24.00 - 03.59,04.00 - 07.59,All day
Whole kingdom,16632908,7391118,9420450,6561876,3070213,103650,24651,923380
Bangkok,2848286,1103690,1501937,1147394,696005,33976,7927,267379
Central region,4131640,1748402,2123099,1644235,926057,29568,7659,292742
Northern region,2867098,1371182,1596733,1178656,523980,14228,3756,101816
Northeastern region,4568734,2134093,2894133,1670257,531387,15341,2115,168456
Southern region,2217150,1033752,1304548,921334,392783,10535,3194,92987
