region,Total,Less than 1 hour,1-2 hours,2-3 hours,3-4 hours,4-5 hours,5-6 hours,More than 6 hours
Bangkok,3302566,494707,978773,623659,299314,215299,102418,485833
Central region,5294779,964904,1789990,995442,444178,257257,121602,421165
Northern region,3614931,703230,1514048,588964,225383,138559,64341,161182
Northeastern region,6176991,1646061,2407123,804031,370472,202725,96744,287722
Southern region,2778582,671941,1048432,387502,160996,95129,47700,145457
