activity,Total,6-10 years,11-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-49 years,50-59 years,60 years and over
Work,7173369,109030,167125,332765,649337,1255057,1255057,953269,1512012,872941,110788
Study,10887443,2522809,3329977,3484108,1044460,90321,90321,66713,79631,51730,33369
Knowledge,6913594,388031,865526,1506667,924282,636010,636010,521361,769692,476063,115399
Game,12608492,1732862,2170743,2800145,1681263,1031972,1031972,729133,802763,301597,84858
Entertainment,13060700,908860,1643226,2754544,1804331,1349235,1349235,1025145,1346074,589927,145016
Surfing  Internet,12151268,673598,1602414,2714787,1599201,1235621,1235621,929970,1278005,656945,134021
