age,Total,Computer using,Computer do not using,Internet using,Internet do not using,Mobile using,Mobile do not using
Total,62859329,21167848,41691481,16632908,46226421,44095238,18764091
6-10',4711034,2922709,1788325,1316168,3394866,527764,4183270
11-14',3825975,3501312,324663,2653986,1171989,1842028,1983947
15 - 19,5107677,3887988,1219689,3702497,1405180,4394143,713534
20 - 24,5231602,2270724,2960878,1960948,3270654,4590931,640671
25 - 29,5272489,1970207,3302282,1651566,3620923,4614384,658105
30 - 34,5326247,1791704,3534543,1499523,3826724,4595033,731214
35 - 39,5448915,1394684,4054231,1145505,4303410,4641357,807558
40 - 49,10862369,2051371,8810998,1650320,9212049,8855395,2006974
50 - 59,8599251,1112726,7486525,886499,7712752,6415967,2183284
60 years and over,8473770,264423,8209347,165896,8307874,3618234,4855536
