"Region, area",Total,Computer using,Computer do not using,Internet using,Internet do not using,Mobile using,Mobile do not using
Whole kingdom,62859329,21167848,41691481,16632908,46226421,44095238,18764091
Bangkok,6416044,3302566,3113478,2848286,3567758,5386679,1029365
Central region,15043334,5294779,9748555,4131640,10911694,11290875,3752459
Northern region,11451056,3614931,7836125,2867098,8583958,7891380,3559676
Northeastern region,21260858,6176991,15083867,4568734,16692124,13632332,7628526
Southern region,8688037,2778582,5909455,2217150,6470887,5893971,2794066
