location,Total,6-10 years,11-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-49 years,50-59 years,60 years and over
Home,12677645,1227708,1305361,1816030,1531425,1449962,1381597,1124525,1709777,908623,222635
Work,5689862,47535,40342,84950,470208,1070039,1074410,830268,1251013,738156,82940
Place of education,10424170,2553832,3321131,3376863,909257,103141,45516,26584,42476,33838,11533
Internet café,2468600,155775,535793,1069005,398961,155749,83377,37343,23139,5113,4344
Public service Information/Public Libraries/Learning ICT community center,822776,55312,92554,159444,133591,100751,86155,66106,75609,40620,26971
Another person's home,449636,29296,20184,48385,84749,70692,53551,34599,55683,30189,22308
