Region,Total,08.00 - 11.59,12.00 - 15.59,16.0 - 19.59,20.0 - 23.59,24.00 - 03.59,04.00 - 07.59,All day
Whole kingdom,24592299,7808043,8196440,10204673,8064434,192660,65870,4398923
Bangkok,4869203,1652775,1584570,1896344,1635323,43807,14705,1049500
Central region,7727163,2155684,2344408,2969796,2903030,69248,23001,1508223
Northern region,3621940,1194776,1156120,1500265,1176898,39733,14246,605548
Northeastern region,5264498,1907269,2106171,2438449,1337490,14667,9331,739170
Southern region,3109496,897539,1005172,1399817,1011691,25203,4587,496482
