"Region, area",Total,Computer using,Computer do not using,Internet using,Internet do not using,Mobile using,Mobile do not using
Whole kingdom,62550157,21842291,40707866,24592299,37957858,49594137,12956020
Bangkok,8034836,4204996,3829840,4869203,3165633,7253701,781135
Central region,17943073,6262477,11680596,7727163,10215910,14932546,3010527
Northern region,10799693,3387103,7412590,3621940,7177753,8263131,2536562
Northeastern region,17423371,5250863,12172508,5264498,12158873,12964156,4459215
Southern region,8349184,2736853,5612331,3109496,5239688,6180603,2168581
