location,Total,6-10 years,11-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-49 years,50-59 years,60 years and over
Home,13565162,1219108,1273035,1900127,1712649,1481597,1451429,1339130,1845148,1046248,296692
Work,6970843,24366,16059,84497,604086,1328019,1295322,1116533,1472897,946892,82169
Place of education,10053053,2359570,3137503,3312250,1056851,81303,22700,21555,29011,28981,3329
Internet café,1918903,150657,487202,858975,225500,108244,36357,26906,20421,2678,1962
Public service Information/Public Libraries/Learning ICT community center,266708,19466,22989,32862,31983,23718,20179,17711,55449,22383,19967
Another person's home,1423886,179535,189710,273111,184453,163222,119514,107720,124538,53274,28811
