Level of education,Total,Computer using,Computer do not using,Internet using,Internet do not using,Mobile using,Mobile do not using
Total,62550157,21842291,40707866,24592299,37957858,49594137,12956020
No education,3107606,217007,2890599,140709,2966897,1227052,1880554
Less than elementary level,18675725,4221766,14453959,2888871,15786855,10560470,8115255
Elementary level,12946116,3068419,9877697,3640877,9305240,11019771,1926345
Lower secondary level,9713905,3573802,6140103,5025913,4687992,9144705,569200
Upper secondary level,8536491,3672962,4863529,5072736,3463755,8252197,284294
Diploma level,2174114,1208053,966061,1543918,630195,2126226,47888
Higher level,7037670,5841473,1196197,6177426,860244,6951609,86061
Others,154303,3249,151054,25517,128786,128076,26227
Unknown,204226,35560,168666,76332,127893,184031,20195
