Internet's using location,Total,Used,None
Home,24592299,16488526,8103773
Office,24592299,8408758,16183541
Institution,24592299,8581672,16010627
Internet caf?,24592299,3809108,20783191
Telecenter,24592299,1471346,23120954
Friend's house,24592299,7802526,16789773
Other location via portable device,24592299,20084369,4507930
