region,Total,Less than 1 hour,1-2 hours,2-3 hours,3-4 hours,4-5 hours,5-6 hours,More than 6 hours
Bangkok,3003977,560792,862439,504952,347597,173642,95362,240626
Central region,4682038,947605,1578710,891131,348865,206461,114740,315269
Northern region,3276993,759346,1237633,459753,273944,112422,50998,100028
Northeastern region,5704488,1660422,2172162,683135,279021,135038,98651,190622
Southern region,2471313,672120,940194,303646,133098,57219,31474,74563
