Activity to use Internet ,Total,Internet using 
Total,13844121,13844121
E-mail,13844121,3665213
Search general Information/goods or services,13844121,11373965
Purchase goods or services,13844121,73960
Business and offering products / services.,13844121,119523
Search for Information about goods / health services,13844121,3218419
Search government Information,13844121,3600121
Contact / transfer Download the document / transaction with the government agency,13844121,182196
 Trace news / read or download newspaper or magazine (e-book) ,13844121,3218419
Games or download games,13844121,3536427
"Download,movies,listening radio or music ",13844121,2416693
Download Software,13844121,116961
"Webboard blog, chat / instant message",13844121,201972
"Social Network(Facebook,Twitter,Hi5 GooglePlus ect.)",13844121,1037382
Education learning activties,13844121,1514061
Voice over Internet protocol (VOIP),13844121,17160
Internet Banking,13844121,55183
