age,Total,Computer using,Computer do not using,Internet using,Internet do not using,Mobile using,Mobile do not using
Total,61896854,19138809,42758045,13844121,48052733,38243149,23653705
6-10',4790697,2696954,2093743,852690,3938007,247231,4543466
11-14',3879594,3530610,348984,2260320,1619274,1295434,2584160
15 - 19,5243854,3953319,1290535,3561664,1682190,4003639,1240215
20 - 24,5227698,2029116,3198582,1673500,3554198,4228615,999083
25 - 29,5314059,1812812,3501247,1443857,3870202,4262931,1051128
30 - 34,5371598,1510856,3860742,1182792,4188806,4344260,1027338
35 - 39,5522568,1149899,4372669,916039,4606529,4371526,1151042
40 - 49,10701331,1612073,9089258,1292261,9409070,7840328,2861003
50 - 59,7975317,737361,7237957,580546,7394771,5129039,2846278
60 years and over,7870138,105809,7764329,80453,7789685,2520146,5349992
