Level of education,Total,Computer using,Computer do not using,Internet using,Internet do not using,Mobile using,Mobile do not using
Total,61896854,19138809,42758045,13844121,48052733,38243149,23653705
None,3162511,165563,2996948,38293,3124218,633774,2528737
Less than elementary,21805711,4164939,17640771,1587364,20218346,8423769,13381941
Elementary,13150555,3256464,9894091,2519933,10630622,8550655,4599901
Lower secondary,9667814,3374447,6293367,2890370,6777444,7745644,1922170
Upper secondary,7099885,2818911,4280974,2201398,4898487,6203003,896882
Diploma level,1998579,1187794,810785,921111,1077468,1846862,151717
Higher level,4863776,4135998,727778,3654529,1209247,4732455,131320
Others,33558,1579,31979,1445,32113,14215,19343
Unknown,114465,33113,81352,29677,84788,92772,21692
