activity,Total,6-10 years,11-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-49 years,50-59 years,60 years and over
Work,5618139,15414,36467,109534,546299,1162091,1073949,833182,1216129,590890,34183
Study,10337013,2300841,3325248,3538941,901168,104876,58689,30774,50852,22678,2947
Knowledge,6636938,442033,1046695,1789106,835688,630472,507835,418462,612707,304843,49096
Game,4885675,1014819,1064722,1173113,631302,397224,246626,166081,145097,35241,11448
Entertainment,4447258,214807,390649,899743,730588,657800,516652,365922,474694,167183,29222
Surfing  Internet,2705819,93780,264548,594322,386092,362970,299786,223309,305281,144449,31280
