ภาค เขตการปกครอง,ใช้คอมพิวเตอร์,ใช้อินเทอร์เน็ต,ใช้โทรศัพท์มือถือ
กรุงเทพมหานคร,3431742,3137998,5470054
ภาคกลาง,5526180,4526918,11738051
ภาคเหนือ,3674095,3122811,8333380
ภาคตะวันออกเฉียงเหนือ,6467602,4963738,14655023
ภาคใต้,3067256,2560940,6204531
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
