กลุ่มอายุ (ปี),ใช้คอมพิวเตอร์,ใช้อินเทอร์เน็ต,ใช้โทรศัพท์มือถือ
6-10 ปี,3331401,1639587,535695
11-14 ปี,3624151,2929258,1982515
15 - 19 ปี,3926487,3801827,4475823
20 - 24 ปี,2324311,2180208,4715432
25 - 29 ปี,2057145,1849606,4712272
30 - 34 ปี,1901844,1685169,4773970
35 - 39 ปี,1546867,1328287,4742275
40 - 49 ปี,2051619,1723326,9308293
50 - 59 ปี,1168127,983901,7041275
60 ปีขึ้นไป,234923,191234,4113490
