ภาค เขตการปกครอง,ใช้คอมพิวเตอร์,ใช้อินเทอร์เน็ต,ใช้โทรศัพท์มือถือ
กรุงเทพมหานคร,4204996,4869203,7253701
ภาคกลาง,6262477,7727163,14932546
ภาคเหนือ,3387103,3621940,8263131
ภาคตะวันออกเฉียงเหนือ,5250863,5264498,12964156
ภาคใต้,2736853,3109496,6180603
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
