Internet's using location,Total,Used,None
Home,14773403,6305194,8468209
Office,14773403,4546283,10227120
Institution,14773403,7299466,7473937
Internet caf?,14773403,4247066,10526337
Telecenter,14773402,839536,13933866
Friend's house,14773403,1730846,13042557
Other location via portable device,14773403,519770,14253633
