Region,Total,08.00 - 11.59,12.00 - 15.59,16.0 - 19.59,20.0 - 23.59,24.00 - 03.59,04.00 - 07.59,All day
Whole kingdom,14773403,6187438,7985774,5408107,2420589,100571,23035,673736
Bangkok,2594413,918134,1245917,943789,756208,27444,3073,168057
Central region,3448181,1373150,1761453,1277637,612665,31747,4845,187707
Northern region,2636240,1151909,1358014,1063654,439793,12708,5314,123282
Northeastern region,4297349,1942862,2618459,1416961,398832,23485,4856,122434
Southern region,1797221,801383,1001932,706065,213091,5188,4947,72255
