location,Total,6-10 years,11-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-49 years,50-59 years,60 years and over
Home,10078605,964929,1047141,1599918,1228344,1203751,1118683,876145,1257298,657087,125309
Work,5035666,40610,45414,97688,473290,1013777,965594,729193,1035505,592768,41827
Place of education,10138368,2329263,3315475,3428293,845172,99670,41779,21554,24627,26290,6244
Internet café,2255874,119240,414401,917974,380475,160677,65904,46855,58717,43656,47975
Public service Information/Public Libraries/Learning ICT community center,749424,13727,24864,78959,146837,162251,91153,56439,80907,47026,44261
Another person's home,971686,36848,61775,156208,193231,192764,112203,63392,82296,45132,27838
