activity,Total,6-10 years,11-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-49 years,50-59 years,60 years and over
Work,5875202,58403,99964,207042,543788,1104198,1085920,822785,1205176,689012,58915
Study,10241384,2254474,3281764,3437606,909135,158051,72428,43263,52132,25931,6598
Knowledge,7898950,596125,1205267,1922233,900064,749160,729937,505455,736029,436757,117922
Game,6230271,1145664,1271964,1423244,789273,540606,377355,234830,282619,112400,52316
Entertainment,5843719,281024,477143,1098642,979407,908895,681124,482456,602361,249451,83217
Surfing  Internet,4216154,146854,433473,896412,596856,562756,474650,342857,462197,245794,54307
