age,Total,Computer using,Computer do not using,Internet using,Internet do not using,Mobile using,Mobile do not using
Total,62414235,19941150,42473085,14773403,47640832,41432901,20981334
6-10',4767609,2677539,2090070,953661,3813948,347496,4420113
11-14',3838856,3507858,330998,2338496,1500360,1546243,2292613
15 - 19,5191790,3963105,1228685,3627570,1564220,4293700,898090
20 - 24,5223870,2158495,3065375,1782439,3441431,4426143,797727
25 - 29,5296252,1928225,3368027,1536531,3759721,4561484,734768
30 - 34,5345328,1633945,3711383,1293307,4052021,4577334,767994
35 - 39,5487599,1217506,4270093,966377,4521222,4576424,911175
40 - 49,10794821,1711119,9083703,1367083,9427738,8511689,2283132
50 - 59,8296382,925192,7371190,742776,7553606,5703414,2592968
60 years and over,8171728,218166,7953562,165163,8006565,2888975,5282753
