Activity to use Internet ,Total,Internet using 
Total,14773403,14773403
E-mail,14773403,8030710
Search general Information/goods or services,14773403,11554466
Purchase goods or services,14773403,393226
Business and offering products / services.,14773403,99523
Search for Information about goods / health services,14773403,4577993
Search government Information,14773403,5691307
Contact / transfer Download the document / transaction with the government agency,14773403,835569
 Trace news / read or download newspaper or magazine (e-book) ,14773403,8108637
Games or download games,14773403,8105586
"Download,movies,listening radio or music ",14773403,7069828
Download Software,14773403,1544973
"Webboard blog, chat / instant message",14773403,3607595
"Social Network(Facebook,Twitter,Hi5 GooglePlus ect.)",14773403,3607595
Education learning activties,14773403,2789719
Voice over Internet protocol (VOIP),14773403,409067
Internet Banking,14773403,325190
