region,Total,Less than 1 hour,1-2 hours,2-3 hours,3-4 hours,4-5 hours,5-6 hours,More than 6 hours
Bangkok,3076340,266660,887859,657843,383966,238521,157520,337957
Central region,4800305,505896,1544802,1162960,567972,248524,163905,351927
Northern region,3492063,402608,1340605,811843,333677,144909,92832,176799
Northeastern region,5999405,818596,2515576,1195888,421266,215798,145493,279444
Southern region,2573036,366507,1003374,509231,203029,108681,51269,111784
