ภาค เขตการปกครอง,ใช้คอมพิวเตอร์,ใช้อินเทอร์เน็ต,ใช้โทรศัพท์มือถือ
กรุงเทพมหานคร,4368728,4358846,7134265
ภาคกลาง,6954898,6666595,14505457
ภาคเหนือ,3690400,3309518,8039389
ภาคตะวันออกเฉียงเหนือ,5661101,4675963,12311755
ภาคใต้,3096214,2718461,6074775
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
