กลุ่มอายุ (ปี),ใช้คอมพิวเตอร์,ใช้อินเทอร์เน็ต,ใช้โทรศัพท์มือถือ
6-10 ปี,3077205,1531612,526151
11-14 ปี,3377843,2894826,1906675
15 - 19 ปี,3817215,3853478,4335071
20 - 24 ปี,2646415,2857694,4604830
25 - 29 ปี,2340534,2486751,4460217
30 - 34 ปี,2209167,2271810,4695013
35 - 39 ปี,1940488,1909587,4948359
40 - 49 ปี,2545838,2336079,9813507
50 - 59 ปี,1411340,1266751,7520092
60 ปีขึ้นไป,405296,320795,5255727
