Region,Total,08.00 - 11.59,12.00 - 15.59,16.0 - 19.59,20.0 - 23.59,24.00 - 03.59,04.00 - 07.59,All day
Whole kingdom,21729382,8928907,11436624,9011267,5324522,170566,53206,2091311
Bangkok,4358846,1824192,2317165,1734538,1273466,68720,13963,408275
Central region,6666595,2227436,3015150,2642487,2011686,56996,17428,955582
Northern region,3309518,1487907,1799895,1523770,719933,12990,7578,234421
Northeastern region,4675963,2331057,2826844,1934616,752992,17380,8784,229726
Southern region,2718461,1058315,1477569,1175857,566445,14478,5453,263307
