Level of education,Total,Computer using,Computer do not using,Internet using,Internet do not using,Mobile using,Mobile do not using
Total,62286730,23771341,38515389,21729382,40557348,48065641,14221089
None,3251446,287226,2964220,122972,3128474,1229850,2021597
Less than elementary,19569754,4713591,14856163,2799500,16770254,10580632,8989122
Elementary,12494681,3386783,9107898,3160322,9334360,10438971,2055710
Lower secondary,9707603,4050947,5656656,4142865,5564738,9023787,683816
Upper secondary,8032068,4009912,4022156,4147907,3884162,7716873,315196
Diploma level,2231031,1423792,807239,1444846,786185,2172427,58604
Higher level,6728187,5841591,886596,5847783,880404,6669071,59116
Others,65284,3532,61753,4155,61130,50138,15146
Unknown,206675,53966,152708,59032,147642,183892,22782
