Internet's using location,Total,Used,None
Home,21729382,13875441,7853941
Office,21729382,7020348,14709035
Institution,21729382,8600911,13128471
Internet caf?,21729382,4177811,17551571
Telecenter,21729382,1105059,20624323
Friend's house,21729382,4381212,17348171
Other location via portable device,21729382,16209209,27249555
