Region,Total,Fixed Broadband (Broadband),Mobile wireless 3G and above (Broadband),"Analogue modem, ISDN (Narrowband)","Mobile wireless  2G, 2.5G (Narrowband)"
Whole kingdom,21729382,16029173,9703341,1418976,1921790
Bangkok,4358846,3606024,2554869,182041,297817
Central region,6666595,4481953,3453854,524591,634940
Northern region,3309518,2740912,1236506,173622,255053
Northeastern region,4675963,3396472,1533514,366462,431226
Southern region,2718461,1803812,924597,172260,302755
