region,Total,Less than 1 hour,1-2 hours,2-3 hours,3-4 hours,4-5 hours,5-6 hours,More than 6 hours
Bangkok,4368728,485790,1222946,945379,600201,379345,243948,491119
Central region,6954898,907739,2968732,1430030,700318,364990,193607,389482
Northern region,3690400,609257,1684764,735003,324310,134552,53333,149179
Northeastern region,5661101,1155464,2781739,957216,351216,179391,79144,156932
Southern region,3096214,708654,1229283,593723,239770,126586,80179,118020
