"Region, area",Total,Computer using,Computer do not using,Internet using,Internet do not using,Mobile using,Mobile do not using
Whole kingdom,63283119,22166875,41116244,18312405,44970714,46401040,16882079
Bangkok,6435907,3431742,3004165,3137998,3297909,5470054,965853
Central region,15174749,5526180,9648569,4526918,10647831,11738051,3436698
Northern region,11495571,3674095,7821476,3122811,8372760,8333380,3162191
Northeastern region,21373487,6467602,14905885,4963738,16409749,14655023,6718464
Southern region,8803405,3067256,5736149,2560940,6242465,6204531,2598874
