location,Total,6-10 years,11-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-49 years,50-59 years,60 years and over
Home,15916797,1441692,1428512,2170165,2031778,1833461,1786917,1628975,2124215,1145778,325304
Work,6821660,34376,42147,119297,627546,1280038,1261512,1112438,1391383,887307,65616
Place of education,10253883,2668956,3195975,3228133,975047,93046,25296,13771,23765,25355,4539
Internet café,2176670,148089,572650,899630,327404,120128,54214,28061,13996,7099,5399
Public service Information/Public Libraries/Learning ICT community center,261429,26636,33659,27649,27014,23025,20961,20336,40491,28748,12910
Another person's home,1487558,103756,126120,215060,200794,171950,156453,122800,198851,118186,73588
