Area,Total,Computer using,Computer do not using,Internet using,Internet do not using,Mobile using,Mobile do not using
Total,63283119,22166875,41116244,18312405,44970714,46401040,16882079
None,3318960,238734,3080226,84768,3234192,1013520,2305440
Less than elementary,20728209,4983991,15744218,2853943,17874266,10400301,10327908
Elementary,13223859,3361108,9862751,2977191,10246669,10561188,2662672
Lower secondary,9929298,3665705,6263593,3360993,6568304,8975262,954035
Upper secondary,7910669,3410837,4499832,2956060,4954609,7433763,476906
Diploma level,2169010,1388246,780764,1214508,954502,2107912,61098
Higher level,5818487,5053313,765174,4806742,1011745,5757789,60697
Others,34347,1035,33312,1035,33312,17167,17180
Unknown,150280,63907,86373,57164,93116,134138,16142
