activity,Total,6-10 years,11-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-49 years,50-59 years,60 years and over
Work,7693869,49953,84246,225989,726134,1342229,1371716,1218314,1576131,1002581,96576
Study,10743244,2679474,3253200,3371799,1130811,144948,47369,37277,41464,29371,7531
Knowledge,8397241,502928,934261,1609842,1121451,861272,782936,719296,988836,652075,224343
Game,16712323,2172277,2499830,3112905,2180970,1776073,1544189,1256006,1347680,629214,193179
Entertainment,17750064,1304749,2114681,3190681,2343152,2037234,1844099,1602154,1984136,1025163,304015
Surfing  Internet,17136355,1061449,2247766,3239942,2205338,1875163,1735329,1512681,1907538,1081593,269556
Others,530020,16596,25445,53464,73476,81736,84237,69742,70453,35236,19635
