Region,Total,08.00 - 11.59,12.00 - 15.59,16.0 - 19.59,20.0 - 23.59,24.00 - 03.59,04.00 - 07.59,All day
Whole kingdom,18312405,8250221,9954757,7390546,3742972,111148,20323,1167296
Bangkok,3137998,1252361,1585433,1200639,791948,41804,8837,336844
Central region,4526918,1849323,2211797,1806899,1139497,33286,5399,376542
Northern region,3122811,1519479,1719166,1302783,669762,10900,476,155527
Northeastern region,4963738,2554760,3057279,1891133,612473,14949,3758,171379
Southern region,2560940,1074297,1381084,1189092,529293,10209,1852,127003
