ปี,2553,2554,2555,2556,2557,2558,2559
น้อยกว่าหรือ เท่ากับ 1 ชั่วโมง ,3819847,3286803,4113153,4405088,3843313,4186770,4043709.16
มากกว่า 1-2 ชั่วโมง,5044730,5415917,6198308,7025193,8369731,10568203,9981329.94
มากกว่า 2-3 ชั่วโมง,1841817,2714078,2576530,3135568,4608833,7098718,6667771.16
มากกว่า 3-4 ชั่วโมง,703357,1010860,1025671,1436830,2002559,4315626,3711163.8
มากกว่า 4-5 ชั่วโมง,306173,426420,495510,656698,915146,1903515,24406533.06
มากกว่า 5-6 ชั่วโมง,152209,287145,226306,298910,442939,849134,622192.99
6 ชั่วโมงขึ้นไป,432382,642181,884833,978072,1546858,2939918,2837319.6
